show,type,genre,opening,closing,performances
A Streetcar Named Desire,Revival,"Play, Drama","Mar 10, 1988","May 22, 1988",84
A Streetcar Named Desire,Revival,"Play, Drama","Apr 12, 1992","Aug 09, 1992",137
A Streetcar Named Desire,Revival,"Play, Drama","Apr 26, 2005","Jul 03, 2005",73
A Streetcar Named Desire,Revival,"Play, Drama","Apr 22, 2012","Jul 22, 2012",105
A Strong Man's House,Original,"Play, Drama","Sep 16, 1929",Oct 1929,24
A Successful Calamity,Original,"Play, Comedy","Feb 05, 1917",Jun 1917,144
A Sunny Morning,Original,"Play, Comedy","Dec 07, 1935","Dec 07, 1935",1
A Tailor-Made Man,Original,Play,"Aug 27, 1917",Aug 1918,398
A Tailor-Made Man,Revival,"Play, Comedy","Oct 21, 1929",Oct 1929,8
A Tale of the Wolf,Original,"Play, Comedy","Oct 07, 1925",Oct 1925,13
A Tale of Two Cities,Original,"Musical, Drama","Sep 18, 2008","Nov 09, 2008",60
A Tale Retold,Original,Play,"May 09, 1928","May 09, 1928",1
A Taste of Honey,Original,Play,"Oct 04, 1960","Sep 09, 1961",376
A Taste of Honey,Revival,Play,"Jun 24, 1981","Nov 08, 1981",157
A Teaspoon Every Four Hours,Original,"Play, Comedy","Jun 14, 1969","Jun 14, 1969",1
A Temporary Island,Original,Play,"Mar 14, 1948","Mar 19, 1948",6
A Texas Trilogy: Lu Ann Hampton Laverty Oberlander,Original,Play,"Sep 21, 1976","Oct 30, 1976",21
A Texas Trilogy: The Last Meeting of the Knights of the White Magnolia,Original,Play,"Sep 22, 1976","Oct 31, 1976",22
A Texas Trilogy: The Oldest Living Graduate,Original,Play,"Sep 23, 1976","Oct 29, 1976",20
A Thousand Clowns,Original,"Play, Comedy","Apr 05, 1962","Apr 13, 1963",428
A Thousand Clowns,Revival,Play,"Jul 14, 1996","Aug 10, 1996",32
A Thousand Clowns,Revival,"Play, Comedy","Jul 11, 2001","Sep 23, 2001",83
A Thousand Summers,Original,"Play, Romance","May 24, 1932",Jul 1932,51
A Thousand Years Ago,Original,Play,"Jan 06, 1914",Mar 1914,87
A Thurber Carnival,Original,"Play, Revue","Feb 26, 1960","Nov 26, 1960",223
A Time for Singing,Original,Musical,"May 21, 1966","Jun 25, 1966",41
A Touch of Brimstone,Original,Play,"Sep 22, 1935",Dec 1935,98
A Touch of the Poet,Original,"Play, Drama","Oct 02, 1958","Jun 13, 1959",284
A Touch of the Poet,Revival,"Play, Drama","May 02, 1967","May 13, 1967",5
A Touch of the Poet,Revival,"Play, Drama","Dec 28, 1977","Apr 30, 1978",141
A Touch of the Poet,Revival,"Play, Drama","Dec 08, 2005","Jan 29, 2006",50
A Tragedy of the Future,Original,Play,"Mar 14, 1913",Jun 1913,115
A Tree Grows in Brooklyn,Original,Musical,"Apr 19, 1951","Dec 08, 1951",267
A Trench Fantasy,Original,Play,"Jan 24, 1918",Feb 1918,19
A Trip to Buffalo,Original,"Musical, Comedy","Mar 24, 1902","Mar 29, 1902",9
A Trip to Chinatown,Original,Musical,"Nov 09, 1891","Aug 07, 1893",657
A Trip To Coontown,Revival,"Musical, Comedy","Apr 04, 1898","Apr 09, 1898",8
A Trip to Japan,Original,"Musical, Melodrama","Sep 04, 1909",Sep 1910,447
A Troubadour,Original,"Play, Drama","Apr 19, 1900","Apr 19, 1900",1
A Tuna Christmas,Original,"Play, Comedy","Dec 15, 1994","Jan 01, 1995",20
A Very Good Young Man,Original,Play,"Aug 19, 1918",Sep 1918,16
A Very Rich Woman,Original,Play,"Sep 30, 1965","Oct 23, 1965",28
A Very Special Baby,Original,Play,"Nov 14, 1956","Nov 17, 1956",5
A Very Wise Virgin,Original,"Play, Comedy","Jun 02, 1927",Jun 1927,20
A View From the Bridge,Revival,"Play, Drama","Feb 03, 1983","Jun 12, 1983",149
A View From the Bridge,Revival,"Play, Drama","Dec 14, 1997","Aug 30, 1998",239
A View From the Bridge,Revival,"Play, Drama","Jan 24, 2010","Apr 04, 2010",81
A View From the Bridge,Revival,"Play, Drama","Nov 12, 2015","Feb 21, 2016",115
A Visit to a Small Planet,Original,"Play, Comedy","Feb 07, 1957","Jan 11, 1958",388
A Voice in the Dark,Original,"Play, Melodrama","Jul 28, 1919",Nov 1919,134
A Walk in the Woods,Original,Play,"Feb 28, 1988","Jun 26, 1988",137
A Waltz Dream,Original,"Musical, Operetta","Jan 27, 1908","May 02, 1908",111
A Warm Body,Original,Play,"Apr 15, 1967","Apr 15, 1967",1
A Way of Life,Original,Play,<em>Never Officially Opened</em>,"Feb 01, 1969",0
A Weak Woman,Original,"Play, Comedy","Jan 26, 1926",Mar 1926,49
A Widow in Green,Original,"Play, Comedy","Nov 20, 1931",Dec 1931,27
A Woman Denied,Original,"Play, Drama","Feb 25, 1931",Mar 1931,37
A Woman Killed with Kindness,Original,Play,"Mar 30, 1914","Mar 30, 1914",1
A Woman of Destiny,Original,Play,"Mar 02, 1936",Apr 1936,35
A Woman of Impulse,Original,Play,"Mar 01, 1909",Mar 1909,16
A Woman of Independent Means,Original,"Play, Solo","May 03, 1984","May 13, 1984",13
A Woman of No Importance,Revival,Play,"Apr 24, 1916",Jun 1916,56
A Woman of the Soil,Original,Play,"Mar 25, 1935",Apr 1935,24
A Woman's a Fool - to Be Clever,Original,"Play, Comedy","Oct 18, 1938",Oct 1938,7
A Woman's Pity,Original,Play,"Feb 27, 1905","Apr 08, 1905",8
A Woman's Way,Original,"Play, Comedy","Feb 22, 1909",May 1909,112
A Wonderful Night,Original,"Musical, Operetta","Oct 31, 1929","Feb 15, 1930",125
A World of Pleasure,Original,"Musical, Revue","Oct 14, 1915","Jan 22, 1916",116
A Yankee Circus on Mars,Original,"Musical, Extravaganza","Apr 12, 1905","Dec 09, 1905",296
A Young Man's Fancy,Original,"Play, Comedy","Oct 15, 1919",Oct 1919,13
A Young Man's Fancy,Revival,"Play, Comedy","Apr 29, 1947","Feb 14, 1948",335
A Young Wife,Original,"Play, Melodrama","Aug 31, 1899",Oct 1899,54
Aaah Oui Genty!,Original,"Special, Puppets","Apr 09, 1981","May 03, 1981",29
Abe and Mawruss,Original,Play,"Oct 21, 1915",Apr 1916,196
Abe Lincoln in Illinois,Original,"Play, Drama","Oct 15, 1938","Nov 25, 1939",472
Abe Lincoln in Illinois,Revival,"Play, Drama","Nov 29, 1993","Jan 02, 1994",40
Abelard and Heloise,Original,"Play, Drama","Mar 10, 1971","Apr 24, 1971",53
Abide With Me,Original,"Play, Drama","Nov 21, 1935",Dec 1935,36
Abie's Irish Rose,Original,"Play, Comedy","May 23, 1922","Oct 22, 1927",2327
Abie's Irish Rose,Revival,"Play, Comedy","May 12, 1937",Jun 1937,46
Abie's Irish Rose,Revival,"Play, Comedy","Nov 18, 1954","Dec 04, 1954",20
Abigail,Original,"Play, Comedy","Feb 21, 1905",Apr 1905,47
About Town,Original,"Musical, Revue","Aug 30, 1906","Nov 10, 1906",85
About Town,Original,"Musical, Revue","Nov 15, 1906","Dec 29, 1906",53
Abraham Cochrane,Original,Play,"Feb 17, 1964","Feb 17, 1964",1
Abraham Lincoln,Original,"Play, Drama","Dec 15, 1919",May 1920,193
Abraham Lincoln,Revival,"Play, Drama","Oct 21, 1929",Oct 1929,8
Absence of a Cello,Original,"Play, Comedy","Sep 21, 1964","Jan 04, 1965",120
Absent Father,Original,Play,"Oct 17, 1932",Jan 1933,88
Absurd Person Singular,Original,"Play, Comedy","Oct 08, 1974","Mar 06, 1976",591
Absurd Person Singular,Revival,"Play, Comedy","Oct 18, 2005","Dec 04, 2005",56
Abyssinia,Original,"Musical, Comedy","Feb 20, 1906",Aug 1906,48
Accent on Youth,Original,"Play, Comedy","Dec 25, 1934","Jul 06, 1935",229
Accent on Youth,Revival,"Play, Comedy","Apr 29, 2009","Jun 28, 2009",71
Accidental Death of an Anarchist,Original,Play,"Nov 15, 1984","Dec 01, 1984",20
Accused,Original,Play,"Sep 29, 1925",Dec 1925,95
Achilles Had a Heel,Original,Play,"Oct 13, 1935",Oct 1935,8
Across the Board on Tomorrow Morning,Original,"Play, Fantasy","Aug 17, 1942","Aug 22, 1942",8
Across the Street,Original,"Play, Comedy","Mar 24, 1924",Apr 1924,32
Act One,Original,Play,"Apr 17, 2014","Jun 15, 2014",67
Ada Beats the Drum,Original,"Play, Comedy","May 08, 1930",Jun 1930,46
Adam and Eva,Original,"Play, Comedy","Sep 13, 1919",Jun 1920,312
Adam Had Two Sons,Original,Play,"Jan 20, 1932",Jan 1932,5
Adam Solitaire,Original,Play,"Nov 06, 1925",Nov 1925,17
Adams' Wife,Original,"Play, Drama","Dec 28, 1931",Jan 1932,8
Adelante,Original,"Musical, Ballet","Apr 04, 1939","Apr 18, 1939",16
Adele,Original,"Musical, Comedy","Aug 28, 1913","Feb 14, 1914",196
Adonis,Original,"Musical, Burlesque","Sep 04, 1884","Apr 17, 1886",603
Adonis,Revival,"Musical, Burlesque","May 09, 1899","May 20, 1899",15
Adrea,Original,"Play, Drama","Jan 11, 1905","Apr 26, 1905",123
Adrienne,Original,"Musical, Comedy","May 28, 1923","Dec 15, 1923",235
Adventure,Original,Play,"Sep 25, 1928",Oct 1928,23
Advise and Consent,Original,"Play, Drama","Nov 17, 1960","May 20, 1961",212
Affair of Honor,Original,"Play, Comedy","Apr 06, 1956","Apr 28, 1956",27
Affairs of State,Original,"Play, Comedy","Sep 25, 1950","Mar 08, 1952",610
Afgar,Original,"Musical, Spectacle","Nov 08, 1920","Apr 02, 1921",168
Africana,Original,"Musical, Operetta","Nov 26, 1934","Nov 28, 1934",3
Africana [1927],Original,"Musical, Revue","Jul 11, 1927","Sep 10, 1927",72
After All,Original,"Play, Comedy","Nov 03, 1931",Nov 1931,20
After Five,Original,Play,"Oct 29, 1913",Nov 1913,13
After Midnight,Original,"Musical, Revue","Nov 03, 2013","Jun 29, 2014",273
After Miss Julie,Original,"Play, Drama","Oct 22, 2009","Dec 06, 2009",53
After Such Pleasures,Original,"Play, Comedy","Feb 07, 1934",Feb 1934,23
After The Fall,Original,"Play, Drama","Jan 23, 1964","May 29, 1965",208
After The Fall,Revival,"Play, Drama","Jul 29, 2004","Sep 12, 2004",53
After the Night and the Music,Original,"Play, Comedy","Jun 01, 2005","Jul 03, 2005",38
After the Rain,Original,Play,"Oct 09, 1967","Dec 02, 1967",64
After Tomorrow,Original,"Play, Drama","Aug 26, 1931",Nov 1931,77
Aftermath,Original,Play,"May 08, 1928","May 08, 1928",1
Afternoon of a Faun,Original,"Special, Ballet","Sep 04, 1958","Oct 11, 1958",44
Afternoon of a Faun,Revival,"Special, Ballet","Oct 08, 1961","Oct 28, 1961",24
Agamemnon,Original,"Play, Drama","Dec 17, 1968","Jan 05, 1969",20
Agamemnon,Revival,"Play, Drama","May 18, 1977","Jun 19, 1977",39
Agatha Dene,Original,Play,"Oct 17, 1904",Oct 1904,8
"Agatha Sue, I Love You",Original,"Play, Comedy","Dec 14, 1966","Dec 17, 1966",5
Agnes,Original,Play,"Oct 05, 1908",Oct 1908,16
Agnes of God,Original,"Play, Drama","Mar 30, 1982","Sep 04, 1983",599
"Ah, Wilderness!",Original,"Play, Comedy","Oct 02, 1933",Jun 1934,289
"Ah, Wilderness!",Revival,"Play, Comedy","Oct 02, 1941","Oct 25, 1941",29
"Ah, Wilderness!",Revival,"Play, Comedy","Sep 18, 1975","Nov 23, 1975",85
"Ah, Wilderness!",Revival,"Play, Comedy","Jun 23, 1988","Jul 23, 1988",13
"Ah, Wilderness!",Revival,"Play, Comedy","Mar 18, 1998","May 03, 1998",54
Aida,Revival,"Special, Opera","Apr 28, 1944","May 07, 1944",2
Aida,Revival,"Special, Opera","May 01, 1946","May 10, 1946",2
Aida,Revival,"Special, Opera","Apr 26, 1947","May 09, 1947",3
Aida,Original,"Musical, Drama","Mar 23, 2000","Sep 05, 2004",1852
Ain't Broadway Grand,Original,"Musical, Comedy","Apr 18, 1993","May 09, 1993",25
Ain't Misbehavin',Original,"Musical, Revue","May 09, 1978","Feb 21, 1982",1604
Ain't Misbehavin',Revival,"Musical, Revue","Aug 15, 1988","Jan 15, 1989",176
Ain't Supposed to Die a Natural Death,Original,Musical,"Oct 20, 1971","Jul 30, 1972",581
Air Minded,Original,"Play, Comedy","Feb 10, 1932",Feb 1932,13
Airline Highway,Original,Play,"Apr 23, 2015","Jun 07, 2015",53
Al Green / Ashford & Simpson,Original,Special,"Jun 03, 1976","Jun 06, 1976",7
Aladdin,Revival,Musical,"Jun 02, 1864","Jul 02, 1864",27
Aladdin,Revival,"Musical, Burlesque","Nov 15, 1869","Nov 27, 1869",11
Aladdin and His Wonderful Lamp,Original,"Special, Puppets","Oct 02, 1963","Nov 30, 1963",76
"Aladdin, Jr.",Original,"Musical, Extravaganza","Apr 08, 1895","May 18, 1895",48
Alfie!,Original,Play,"Dec 17, 1964","Jan 02, 1965",21
Algeria,Original,"Musical, Play","Aug 31, 1908","Oct 10, 1908",48
Alias Jimmy Valentine,Original,Play,"Jan 21, 1910",Jun 1910,155
Alias Jimmy Valentine,Revival,"Play, Melodrama","Dec 08, 1921",Jan 1922,46
Alias the Deacon,Original,"Play, Comedy","Nov 24, 1925",Jul 1926,277
Alibi Bill,Original,Play,"Dec 31, 1912",Jan 1913,3
Alice in Arms,Original,"Play, Comedy","Jan 31, 1945","Feb 03, 1945",5
Alice in Wonderland,Original,Play,"Mar 23, 1915",Apr 1915,25
Alice in Wonderland,Original,"Play, Puppets","Dec 24, 1930","Jan 04, 1931",19
Alice of Old Vincennes,Original,"Play, Drama","Dec 02, 1901",Jan 1902,64
Alice Sit-by-the-Fire,Original,"Play, Drama","Dec 25, 1905",Mar 1906,81
Alice Sit-by-the-Fire,Revival,Play,"Feb 13, 1911",Mar 1911,32
Alice Sit-by-the-Fire,Revival,"Play, Drama","Mar 07, 1932",Apr 1932,32
Alice Takat,Original,"Play, Drama","Feb 10, 1936",Feb 1936,8
Alien Corn,Original,Play,"Feb 20, 1933",May 1933,98
Alison's House,Original,"Play, Drama","Dec 01, 1930",Jan 1931,41
Alive and Kicking,Original,"Musical, Revue","Jan 17, 1950","Feb 25, 1950",46
All Aboard,Original,"Musical, Comedy","Jun 05, 1913","Sep 06, 1913",108
All About Me,Original,Musical,"Mar 18, 2010","Apr 04, 2010",20
All American,Original,"Musical, Comedy","Mar 19, 1962","May 26, 1962",86
All Dressed Up,Original,Play,"Sep 09, 1925",Sep 1925,13
All Editions,Original,"Play, Comedy","Dec 22, 1936",Jan 1937,23
All for a Girl,Original,Play,"Aug 22, 1908",Sep 1908,33
All for All,Original,Play,"Sep 29, 1943","Dec 11, 1943",85
All for Love,Original,"Musical, Revue","Jan 22, 1949","May 07, 1949",121
All for the Ladies,Original,"Musical, Farce","Dec 30, 1912","Apr 05, 1913",112
All God's Chillun Got Wings,Revival,"Play, Drama","Mar 20, 1975","May 04, 1975",53
All Good Americans,Original,"Play, Comedy","Dec 05, 1933",Jan 1934,40
All in Favor,Original,Play,"Jan 20, 1942","Jan 24, 1942",7
All in Fun,Original,"Musical, Revue","Dec 27, 1940","Dec 28, 1940",3
All in Good Time,Original,"Play, Comedy","Feb 18, 1965","Mar 27, 1965",44
All Men Are Alike,Original,Play,"Oct 06, 1941","Nov 01, 1941",32
All My Sons,Original,"Play, Drama","Jan 29, 1947","Nov 08, 1947",328
All My Sons,Revival,"Play, Drama","Apr 22, 1987","May 17, 1987",31
All My Sons,Revival,"Play, Drama","Oct 16, 2008","Jan 11, 2009",101
All on Account of Eliza,Original,"Play, Comedy","Sep 03, 1900",Mar 1901,56
All Over,Original,"Play, Drama","Mar 28, 1971","May 01, 1971",40
All Over Town,Original,"Play, Farce","Dec 29, 1974","Jul 20, 1975",233
All Rights Reserved,Original,"Play, Comedy","Nov 06, 1934","Dec 01, 1934",31
All Shook Up,Original,Musical,"Mar 24, 2005","Sep 25, 2005",213
All Soul's Eve,Original,"Play, Drama","May 12, 1920",May 1920,21
All Summer Long,Original,Play,"Sep 23, 1954","Nov 13, 1954",60
All That Glitters,Original,"Play, Comedy","Jan 19, 1938",Mar 1938,69
All the Comforts of Home,Original,Play,"May 25, 1942","May 30, 1942",8
All the Girls Came Out to Play,Original,"Play, Comedy","Apr 20, 1972","Apr 22, 1972",4
All the Living,Original,"Play, Drama","Mar 24, 1938",May 1938,53
All The Way,Original,"Play, Drama","Mar 06, 2014","Jun 29, 2014",131
All the Way Home,Original,"Play, Drama","Nov 30, 1960","Sep 16, 1961",333
All Wet,Original,Play,"Jul 06, 1925",Jul 1925,8
All You Need Is One Good Break,Original,Play,"Feb 09, 1950","Feb 11, 1950",4
All's Well that Ends Well,Original,"Play, Comedy","Apr 13, 1983","May 15, 1983",38
All-of-a-Sudden Peggy,Original,"Play, Comedy","Feb 11, 1907",Mar 1907,34
Allah Be Praised!,Original,"Musical, Comedy","Apr 20, 1944","May 06, 1944",20
Allegiance,Original,Play,"Aug 01, 1918",Sep 1918,44
Allegiance,Original,Musical,"Nov 08, 2015","Feb 14, 2016",111
Allegro,Original,Musical,"Oct 10, 1947","Jul 10, 1948",315
Alley Cat,Original,"Play, Comedy","Sep 17, 1934",Sep 1934,8
Allez-oop,Original,"Musical, Revue","Aug 02, 1927",Nov 1927,120
Alloy,Original,Play,"Oct 27, 1924",Nov 1924,16
Allure,Original,"Play, Drama","Oct 29, 1934",Nov 1934,8
"Alma, Where Do You Live?",Original,"Musical, Vaudeville","Sep 26, 1910","Apr 15, 1911",232
Almost an Eagle,Original,Play,"Dec 16, 1982","Dec 19, 1982",5
Almost Crazy,Original,"Musical, Revue","Jun 20, 1955","Jul 02, 1955",16
Aloma of the South Seas,Original,"Play, Drama","Apr 20, 1925",Jun 1925,66
Alone at Last,Original,"Musical, Operetta","Oct 19, 1915","Mar 18, 1916",180
Alone Together,Original,Play,"Oct 21, 1984","Jan 12, 1985",97
Along Came Ruth,Original,Play,"Feb 23, 1914",Apr 1914,56
Along Fifth Avenue,Original,"Musical, Revue","Jan 13, 1949","Jun 18, 1949",180
Alton Brown Live: Eat Your Science,Original,"Special, Solo","Nov 22, 2016","Nov 27, 2016",8
Always You,Original,"Musical, Comedy","Jan 05, 1920","Feb 28, 1920",66
Amadeus,Original,"Play, Drama","Dec 17, 1980","Oct 16, 1983",1181
Amadeus,Revival,"Play, Drama","Dec 15, 1999","May 14, 2000",173
Amazing Grace,Original,Musical,"Jul 16, 2015","Oct 25, 2015",116
Ambassador,Original,Musical,"Nov 19, 1972","Nov 25, 1972",19
Ambush,Original,"Play, Drama","Oct 10, 1921",Dec 1921,98
Amen Corner,Original,Musical,"Nov 10, 1983","Dec 04, 1983",28
America's Sweetheart,Original,"Musical, Comedy","Feb 10, 1931","Jun 06, 1931",135
American - Very Early,Original,"Play, Comedy","Jan 30, 1934",Feb 1934,7
American Born,Original,Play,"Oct 05, 1925",Dec 1925,88
American Buffalo,Original,Play,"Feb 16, 1977","Jun 11, 1977",122
American Buffalo,Revival,Play,"Oct 27, 1983","Feb 04, 1984",93
American Buffalo,Revival,Play,"Nov 17, 2008","Nov 24, 2008",8
American Dream,Original,"Play, Drama","Feb 21, 1933",Mar 1933,39
American Holiday,Original,Play,"Feb 21, 1936",Mar 1936,20
American Idiot,Original,Musical,"Apr 20, 2010","Apr 24, 2011",422
American Landscape,Original,"Play, Drama","Dec 03, 1938",Jan 1939,43
American Psycho,Original,Musical,"Apr 21, 2016","Jun 05, 2016",54
Americana,Original,"Musical, Revue","Jul 26, 1926",Feb 1927,224
Americana,Revival,"Musical, Revue","Oct 30, 1928","Nov 03, 1928",12
Americana,Revival,"Musical, Revue","Oct 05, 1932",Dec 1932,77
Among the Married,Original,"Play, Comedy","Oct 03, 1929",Nov 1929,44
Among Those Present,Original,"Play, Drama","Nov 10, 1902",Nov 1902,22
Among Those Sailing,Original,"Play, Comedy","Feb 11, 1936",Feb 1936,7
Amourette,Original,"Play, Comedy","Sep 27, 1933",Oct 1933,22
Amphitryon,Revival,"Play, Comedy","Nov 20, 1952","Dec 13, 1952",12
Amphitryon 38,Original,"Play, Comedy","Nov 01, 1937",Mar 1938,153
Amy's View,Original,Play,"Apr 15, 1999","Jul 18, 1999",103
An Act of God,Original,"Play, Comedy","May 28, 2015","Aug 02, 2015",76
An Act of God,Original,"Play, Comedy","Jun 06, 2016","Sep 04, 2016",98
An Affair of State,Original,"Play, Comedy","Nov 19, 1930",Dec 1930,23
An African Millionaire,Original,"Play, Comedy","Apr 04, 1904",Apr 1904,8
An Almost Perfect Person,Original,"Play, Comedy","Oct 27, 1977","Jan 28, 1978",108
An American Ace,Original,Play,"Apr 02, 1918",Apr 1918,32
An American Daughter,Original,Play,"Apr 13, 1997","Jun 29, 1997",89
An American in Paris,Original,Musical,"Apr 12, 2015","Oct 09, 2016",623
An American Invasion,Original,"Play, Drama","Oct 20, 1902",Nov 1902,24
An American Millionaire,Original,Play,"Apr 20, 1974","May 05, 1974",20
An American Tragedy,Original,"Play, Drama","Oct 11, 1926",Apr 1927,216
An American Tragedy,Revival,"Play, Drama","Feb 20, 1931",Jun 1931,137
An American Widow,Original,Play,"Sep 06, 1909",Oct 1909,32
An Arabian Girl and 40 Thieves ,Original,"Musical, Comedy","Apr 29, 1899","May 27, 1899",33
An Aztec Romance,Original,"Play, Romance","Sep 16, 1912","Sep 21, 1912",8
An Enemy of the People,Original,"Play, Drama","Apr 08, 1895","Apr 08, 1895",1
An Enemy of the People,Revival,"Play, Drama","Oct 03, 1927",Jan 1928,127
An Enemy of the People,Revival,"Play, Drama","Nov 05, 1928",Nov 1928,16
An Enemy of the People,Revival,"Play, Drama","Feb 15, 1937",Mar 1937,16
An Enemy of the People,Revival,Play,"Dec 28, 1950","Jan 27, 1951",36
An Enemy of the People,Revival,Play,"Mar 11, 1971","Apr 25, 1971",53
An Enemy of the People,Revival,"Play, Drama","Sep 27, 2012","Nov 18, 2012",59
An English Daisy,Original,"Musical, Comedy","Jan 18, 1904","Feb 20, 1904",41
An Englishman's Home,Original,Play,"Mar 22, 1909",Apr 1909,40
